Team_ID,Rk,Stage,Squad,MP,W,D,L,GF,GA,GD,Pts,Year
25,1,W,eng Chelsea,13.0,9.0,3.0,1.0,23.0,4.0,19.0,30.0,2021
88,2,F,eng Manchester City,13.0,11.0,1.0,1.0,25.0,5.0,20.0,34.0,2021
21,3,SF,es Real Madrid,12.0,6.0,3.0,3.0,19.0,14.0,5.0,21.0,2021
44,4,SF,fr Paris S-G,12.0,6.0,1.0,5.0,22.0,15.0,7.0,19.0,2021
2,5,QF,de Bayern Munich,10.0,8.0,1.0,1.0,27.0,10.0,17.0,25.0,2021
33,6,QF,eng Liverpool,10.0,6.0,2.0,2.0,15.0,6.0,9.0,20.0,2021
22,7,QF,pt Porto,10.0,6.0,1.0,3.0,15.0,9.0,6.0,19.0,2021
93,8,QF,de Dortmund,10.0,5.0,2.0,3.0,19.0,13.0,6.0,17.0,2021
13,9,R16,it Juventus,8.0,6.0,0.0,2.0,18.0,8.0,10.0,18.0,2021
39,10,R16,es Barcelona,8.0,5.0,1.0,2.0,18.0,10.0,8.0,16.0,2021
61,11,R16,es Sevilla,8.0,4.0,2.0,2.0,13.0,13.0,0.0,14.0,2021
111,12,R16,de RB Leipzig,8.0,4.0,0.0,4.0,11.0,16.0,-5.0,12.0,2021
115,13,R16,it Atalanta,8.0,3.0,2.0,3.0,11.0,12.0,-1.0,11.0,2021
28,14,R16,it Lazio,8.0,2.0,4.0,2.0,13.0,13.0,0.0,10.0,2021
66,15,R16,es Atlético Madrid,8.0,2.0,3.0,3.0,7.0,11.0,-4.0,9.0,2021
104,16,R16,de M'Gladbach,8.0,2.0,2.0,4.0,16.0,13.0,3.0,8.0,2021
17,17,GR,eng Manchester Utd,6.0,3.0,0.0,3.0,15.0,10.0,5.0,9.0,2021
31,18,GR,be Club Brugge,6.0,2.0,2.0,2.0,8.0,10.0,-2.0,8.0,2021
40,19,GR,ua Shakhtar,6.0,2.0,2.0,2.0,5.0,12.0,-7.0,8.0,2021
32,20,GR,nl Ajax,6.0,2.0,1.0,3.0,7.0,7.0,0.0,7.0,2021
7,21,GR,it Inter,6.0,1.0,3.0,2.0,7.0,9.0,-2.0,6.0,2021
118,22,GR,ru Krasnodar,6.0,1.0,2.0,3.0,6.0,11.0,-5.0,5.0,2021
116,23,GR,at RB Salzburg,6.0,1.0,1.0,4.0,10.0,17.0,-7.0,4.0,2021
8,24,GR,ua Dynamo Kyiv,6.0,1.0,1.0,4.0,4.0,13.0,-9.0,4.0,2021
6,25,GR,ru Loko Moscow,6.0,0.0,3.0,3.0,5.0,10.0,-5.0,3.0,2021
16,26,GR,gr Olympiacos,6.0,1.0,0.0,5.0,2.0,10.0,-8.0,3.0,2021
121,27,GR,tr Başakşehir,6.0,1.0,0.0,5.0,7.0,18.0,-11.0,3.0,2021
23,28,GR,fr Marseille,6.0,1.0,0.0,5.0,2.0,13.0,-11.0,3.0,2021
117,29,GR,dk Midtjylland,6.0,0.0,2.0,4.0,4.0,13.0,-9.0,2.0,2021
119,30,GR,fr Rennes,6.0,0.0,1.0,5.0,3.0,11.0,-8.0,1.0,2021
69,31,GR,ru Zenit,6.0,0.0,1.0,5.0,4.0,13.0,-9.0,1.0,2021
120,32,GR,hu Ferencváros,6.0,0.0,1.0,5.0,5.0,17.0,-12.0,1.0,2021
