Team_ID,Rk,Stage,Squad,MP,W,D,L,GF,GA,GD,Pts,Year
21,1,W,es Real Madrid,13.0,9.0,3.0,1.0,35.0,18.0,17.0,30.0,2017
13,2,F,it Juventus,13.0,9.0,3.0,1.0,22.0,6.0,16.0,30.0,2017
66,3,SF,es Atlético Madrid,12.0,9.0,1.0,2.0,18.0,10.0,8.0,28.0,2017
9,4,SF,fr Monaco,12.0,5.0,3.0,4.0,19.0,19.0,0.0,18.0,2017
39,5,QF,es Barcelona,10.0,6.0,1.0,3.0,26.0,12.0,14.0,19.0,2017
2,6,QF,de Bayern Munich,10.0,6.0,0.0,4.0,27.0,14.0,13.0,18.0,2017
93,7,QF,de Dortmund,10.0,5.0,2.0,3.0,28.0,16.0,12.0,17.0,2017
108,8,QF,eng Leicester City,10.0,5.0,2.0,3.0,11.0,10.0,1.0,17.0,2017
44,9,R16,fr Paris S-G,8.0,4.0,3.0,1.0,18.0,13.0,5.0,15.0,2017
5,10,R16,eng Arsenal,8.0,4.0,2.0,2.0,20.0,16.0,4.0,14.0,2017
61,11,R16,es Sevilla,8.0,4.0,2.0,2.0,9.0,6.0,3.0,14.0,2017
88,12,R16,eng Manchester City,8.0,3.0,4.0,1.0,17.0,13.0,4.0,13.0,2017
22,13,R16,pt Porto,8.0,3.0,2.0,3.0,9.0,6.0,3.0,11.0,2017
87,14,R16,it Napoli,8.0,3.0,2.0,3.0,13.0,14.0,-1.0,11.0,2017
49,15,R16,pt Benfica,8.0,3.0,2.0,3.0,11.0,14.0,-3.0,11.0,2017
34,16,R16,de Leverkusen,8.0,2.0,4.0,2.0,11.0,11.0,0.0,10.0,2017
59,17,GR,dk FC Copenhagen,6.0,2.0,3.0,1.0,7.0,2.0,5.0,9.0,2017
1,18,GR,fr Lyon,6.0,2.0,2.0,2.0,5.0,3.0,2.0,8.0,2017
80,19,GR,eng Tottenham,6.0,2.0,1.0,3.0,6.0,6.0,0.0,7.0,2017
27,20,GR,tr Beşiktaş,6.0,1.0,4.0,1.0,9.0,14.0,-5.0,7.0,2017
8,21,GR,ua Dynamo Kyiv,6.0,1.0,2.0,3.0,8.0,6.0,2.0,5.0,2017
106,22,GR,ru Rostov,6.0,1.0,2.0,3.0,6.0,12.0,-6.0,5.0,2017
104,23,GR,de M'Gladbach,6.0,1.0,2.0,3.0,5.0,12.0,-7.0,5.0,2017
107,24,GR,pl Legia Warsaw,6.0,1.0,1.0,4.0,9.0,24.0,-15.0,4.0,2017
56,25,GR,pt Sporting CP,6.0,1.0,0.0,5.0,5.0,8.0,-3.0,3.0,2017
43,26,GR,ru CSKA Moscow,6.0,0.0,3.0,3.0,5.0,11.0,-6.0,3.0,2017
100,27,GR,bg Ludogorets,6.0,0.0,3.0,3.0,6.0,15.0,-9.0,3.0,2017
3,28,GR,sct Celtic,6.0,0.0,3.0,3.0,5.0,16.0,-11.0,3.0,2017
11,29,GR,nl PSV Eindhoven,6.0,0.0,2.0,4.0,4.0,11.0,-7.0,2.0,2017
65,30,GR,ch Basel,6.0,0.0,2.0,4.0,3.0,12.0,-9.0,2.0,2017
31,31,GR,be Club Brugge,6.0,0.0,0.0,6.0,2.0,14.0,-12.0,0.0,2017
91,32,GR,hr Dinamo Zagreb,6.0,0.0,0.0,6.0,0.0,15.0,-15.0,0.0,2017
