Team_ID,Rk,Stage,Squad,MP,W,D,L,GF,GA,GD,Pts,Year
21,1,W,es Real Madrid,13.0,10.0,2.0,1.0,41.0,10.0,31.0,32.0,2014
66,2,F,es Atlético Madrid,13.0,7.0,5.0,1.0,26.0,10.0,16.0,26.0,2014
2,3,SF,de Bayern Munich,12.0,6.0,4.0,2.0,24.0,13.0,11.0,22.0,2014
25,4,SF,eng Chelsea,12.0,4.0,5.0,3.0,19.0,10.0,9.0,17.0,2014
44,5,QF,fr Paris S-G,10.0,6.0,2.0,2.0,25.0,9.0,16.0,20.0,2014
39,6,QF,es Barcelona,10.0,5.0,3.0,2.0,21.0,8.0,13.0,18.0,2014
17,7,QF,eng Manchester Utd,10.0,5.0,3.0,2.0,17.0,9.0,8.0,18.0,2014
93,8,QF,de Dortmund,10.0,5.0,2.0,3.0,18.0,13.0,5.0,17.0,2014
69,9,R16,ru Zenit,12.0,4.0,5.0,3.0,23.0,17.0,6.0,17.0,2014
5,10,R16,eng Arsenal,10.0,5.0,2.0,3.0,14.0,8.0,6.0,17.0,2014
88,11,R16,eng Manchester City,8.0,5.0,0.0,3.0,19.0,14.0,5.0,15.0,2014
51,12,R16,de Schalke 04,10.0,4.0,2.0,4.0,12.0,18.0,-6.0,14.0,2014
16,13,R16,gr Olympiacos,8.0,4.0,1.0,3.0,12.0,11.0,1.0,13.0,2014
29,14,R16,it Milan,10.0,2.0,5.0,3.0,13.0,11.0,2.0,11.0,2014
34,15,R16,de Leverkusen,8.0,3.0,1.0,4.0,10.0,16.0,-6.0,10.0,2014
15,16,R16,tr Galatasaray,8.0,2.0,2.0,4.0,9.0,17.0,-8.0,8.0,2014
94,17,GR,cz Viktoria Plzeň,12.0,6.0,1.0,5.0,26.0,24.0,2.0,19.0,2014
65,18,GR,ch Basel,10.0,4.0,4.0,2.0,15.0,11.0,4.0,16.0,2014
58,19,GR,ro Steaua,12.0,3.0,6.0,3.0,13.0,15.0,-2.0,15.0,2014
98,20,GR,at Austria Wien,10.0,3.0,4.0,3.0,10.0,13.0,-3.0,13.0,2014
87,21,GR,it Napoli,6.0,4.0,0.0,2.0,10.0,9.0,1.0,12.0,2014
3,22,GR,sct Celtic,12.0,3.0,3.0,6.0,12.0,16.0,-4.0,12.0,2014
49,23,GR,pt Benfica,6.0,3.0,1.0,2.0,8.0,8.0,0.0,10.0,2014
40,24,GR,ua Shakhtar,6.0,2.0,2.0,2.0,7.0,6.0,1.0,8.0,2014
32,25,GR,nl Ajax,6.0,2.0,2.0,2.0,5.0,8.0,-3.0,8.0,2014
13,26,GR,it Juventus,6.0,1.0,3.0,2.0,9.0,9.0,0.0,6.0,2014
22,27,GR,pt Porto,6.0,1.0,2.0,3.0,4.0,7.0,-3.0,5.0,2014
14,28,GR,es Real Sociedad,8.0,1.0,2.0,5.0,5.0,10.0,-5.0,5.0,2014
59,29,GR,dk FC Copenhagen,6.0,1.0,1.0,4.0,4.0,13.0,-9.0,4.0,2014
43,30,GR,ru CSKA Moscow,6.0,1.0,0.0,5.0,8.0,17.0,-9.0,3.0,2014
4,31,GR,be Anderlecht,6.0,0.0,1.0,5.0,4.0,17.0,-13.0,1.0,2014
23,32,GR,fr Marseille,6.0,0.0,0.0,6.0,5.0,14.0,-9.0,0.0,2014
