Team_ID,Rk,Stage,Squad,MP,W,D,L,GF,GA,GD,Pts,Year
39,1,W,es Barcelona,13.0,8.0,4.0,1.0,30.0,9.0,21.0,28.0,2011
17,2,F,eng Manchester Utd,13.0,6.0,6.0,1.0,19.0,7.0,12.0,24.0,2011
21,3,SF,es Real Madrid,12.0,7.0,4.0,1.0,25.0,6.0,19.0,25.0,2011
51,4,SF,de Schalke 04,12.0,5.0,4.0,3.0,22.0,14.0,8.0,19.0,2011
40,5,QF,ua Shakhtar,10.0,6.0,2.0,2.0,19.0,14.0,5.0,20.0,2011
25,6,QF,eng Chelsea,10.0,6.0,1.0,3.0,17.0,7.0,10.0,19.0,2011
80,7,QF,eng Tottenham,12.0,4.0,5.0,3.0,25.0,19.0,6.0,17.0,2011
7,8,QF,it Inter,10.0,4.0,1.0,5.0,18.0,21.0,-3.0,13.0,2011
2,9,R16,de Bayern Munich,8.0,6.0,1.0,1.0,19.0,9.0,10.0,19.0,2011
5,10,R16,eng Arsenal,8.0,5.0,0.0,3.0,21.0,11.0,10.0,15.0,2011
59,11,R16,dk FC Copenhagen,12.0,3.0,5.0,4.0,12.0,11.0,1.0,14.0,2011
23,12,R16,fr Marseille,8.0,4.0,1.0,3.0,13.0,5.0,8.0,13.0,2011
42,13,R16,es Valencia,8.0,3.0,3.0,2.0,17.0,8.0,9.0,12.0,2011
1,14,R16,fr Lyon,8.0,3.0,2.0,3.0,12.0,14.0,-2.0,11.0,2011
35,15,R16,it Roma,8.0,3.0,1.0,4.0,12.0,17.0,-5.0,10.0,2011
29,16,R16,it Milan,8.0,2.0,3.0,3.0,7.0,8.0,-1.0,9.0,2011
86,17,GR,pt Braga,10.0,6.0,0.0,4.0,14.0,16.0,-2.0,18.0,2011
82,18,GR,il Hapoel Tel Aviv,12.0,4.0,4.0,4.0,20.0,15.0,5.0,16.0,2011
65,19,GR,ch Basel,10.0,5.0,1.0,4.0,17.0,12.0,5.0,16.0,2011
24,20,GR,rs Partizan,12.0,4.0,2.0,6.0,15.0,19.0,-4.0,14.0,2011
32,21,GR,nl Ajax,10.0,2.0,5.0,3.0,13.0,16.0,-3.0,11.0,2011
55,22,GR,ru Spartak Moscow,6.0,3.0,0.0,3.0,7.0,10.0,-3.0,9.0,2011
41,23,GR,de Werder Bremen,8.0,2.0,2.0,4.0,11.0,16.0,-5.0,8.0,2011
84,24,GR,sk MŠK Žilina,12.0,1.0,4.0,7.0,13.0,22.0,-9.0,7.0,2011
81,25,GR,nl Twente,6.0,1.0,3.0,2.0,9.0,11.0,-2.0,6.0,2011
76,26,GR,ru Rubin Kazan,6.0,1.0,3.0,2.0,2.0,4.0,-2.0,6.0,2011
20,27,GR,sct Rangers,6.0,1.0,3.0,2.0,3.0,6.0,-3.0,6.0,2011
49,28,GR,pt Benfica,6.0,2.0,0.0,4.0,7.0,12.0,-5.0,6.0,2011
63,29,GR,ro CFR Cluj,6.0,1.0,1.0,4.0,6.0,12.0,-6.0,4.0,2011
85,30,GR,fr Auxerre,8.0,1.0,1.0,6.0,5.0,13.0,-8.0,4.0,2011
19,31,GR,gr Panathinaikos,6.0,0.0,2.0,4.0,2.0,13.0,-11.0,2.0,2011
83,32,GR,tr Bursaspor,6.0,0.0,1.0,5.0,2.0,16.0,-14.0,1.0,2011
