Team_ID,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Group,Year
44,1,fr Paris S-G,6,5,0,1,14,3,11,15,A,2013
22,2,pt Porto,6,4,1,1,10,4,6,13,A,2013
8,3,ua Dynamo Kyiv,6,1,2,3,6,10,-4,5,A,2013
91,4,hr Dinamo Zagreb,6,0,1,5,1,14,-13,1,A,2013
51,1,de Schalke 04,6,3,3,0,10,6,4,12,B,2013
5,2,eng Arsenal,6,3,1,2,10,8,2,10,B,2013
16,3,gr Olympiacos,6,3,0,3,9,9,0,9,B,2013
95,4,fr Montpellier,6,0,2,4,6,12,-6,2,B,2013
96,1,es Málaga,6,3,3,0,12,5,7,12,C,2013
29,2,it Milan,6,2,2,2,7,6,1,8,C,2013
69,3,ru Zenit,6,2,1,3,6,9,-3,7,C,2013
4,4,be Anderlecht,6,1,2,3,4,9,-5,5,C,2013
93,1,de Dortmund,6,4,2,0,11,5,6,14,D,2013
21,2,es Real Madrid,6,3,2,1,15,9,6,11,D,2013
32,3,nl Ajax,6,1,1,4,8,16,-8,4,D,2013
88,4,eng Manchester City,6,0,3,3,7,11,-4,3,D,2013
13,1,it Juventus,6,3,3,0,12,4,8,12,E,2013
40,2,ua Shakhtar,6,3,1,2,12,8,4,10,E,2013
25,3,eng Chelsea,6,3,1,2,16,10,6,10,E,2013
97,4,dk Nordsjælland,6,0,1,5,4,22,-18,1,E,2013
2,1,de Bayern Munich,6,4,1,1,15,7,8,13,F,2013
42,2,es Valencia,6,4,1,1,12,5,7,13,F,2013
70,3,by BATE Borisov,6,2,0,4,9,15,-6,6,F,2013
50,4,fr Lille,6,1,0,5,4,13,-9,3,F,2013
39,1,es Barcelona,6,4,1,1,11,5,6,13,G,2013
3,2,sct Celtic,6,3,1,2,9,8,1,10,G,2013
49,3,pt Benfica,6,2,2,2,5,5,0,8,G,2013
55,4,ru Spartak Moscow,6,1,0,5,7,14,-7,3,G,2013
17,1,eng Manchester Utd,6,4,0,2,9,6,3,12,H,2013
15,2,tr Galatasaray,6,3,1,2,7,6,1,10,H,2013
63,3,ro CFR Cluj,6,3,1,2,9,7,2,10,H,2013
86,4,pt Braga,6,1,0,5,7,13,-6,3,H,2013
