Team_ID,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Group,Year
87,1,it Napoli,6,5,0,1,20,6,14,15,A,2023
33,2,eng Liverpool,6,5,0,1,17,6,11,15,A,2023
32,3,nl Ajax,6,2,0,4,11,16,-5,6,A,2023
20,4,sct Rangers,6,0,0,6,2,22,-20,0,A,2023
22,1,pt Porto,6,4,0,2,12,7,5,12,B,2023
31,2,be Club Brugge,6,3,2,1,7,4,3,11,B,2023
34,3,de Leverkusen,6,1,2,3,4,8,-4,5,B,2023
66,4,es Atlético Madrid,6,1,2,3,5,9,-4,5,B,2023
2,1,de Bayern Munich,6,6,0,0,18,2,16,18,C,2023
7,2,it Inter,6,3,1,2,10,7,3,10,C,2023
39,3,es Barcelona,6,2,1,3,12,12,0,7,C,2023
94,4,cz Viktoria Plzeň,6,0,0,6,5,24,-19,0,C,2023
80,1,eng Tottenham,6,3,2,1,8,6,2,11,D,2023
123,2,de Eint Frankfurt,6,3,1,2,7,8,-1,10,D,2023
56,3,pt Sporting CP,6,2,1,3,8,9,-1,7,D,2023
23,4,fr Marseille,6,2,0,4,8,8,0,6,D,2023
25,1,eng Chelsea,6,4,1,1,10,4,6,13,E,2023
29,2,it Milan,6,3,1,2,12,7,5,10,E,2023
116,3,at RB Salzburg,6,1,3,2,5,9,-4,6,E,2023
91,4,hr Dinamo Zagreb,6,1,1,4,4,11,-7,4,E,2023
21,1,es Real Madrid,6,4,1,1,15,6,9,13,F,2023
111,2,de RB Leipzig,6,4,0,2,13,9,4,12,F,2023
40,3,ua Shakhtar,6,1,3,2,8,10,-2,6,F,2023
3,4,sct Celtic,6,0,2,4,4,15,-11,2,F,2023
88,1,eng Manchester City,6,4,2,0,14,2,12,14,G,2023
93,2,de Dortmund,6,2,3,1,10,5,5,9,G,2023
61,3,es Sevilla,6,1,2,3,6,12,-6,5,G,2023
59,4,dk FC Copenhagen,6,0,3,3,1,12,-11,3,G,2023
49,1,pt Benfica,6,4,2,0,16,7,9,14,H,2023
44,2,fr Paris S-G,6,4,2,0,16,7,9,14,H,2023
13,3,it Juventus,6,1,0,5,9,13,-4,3,H,2023
71,4,il Maccabi Haifa,6,1,0,5,7,21,-14,3,H,2023
