Team_ID,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Group,Year
5,1,eng Arsenal,6,4,2,0,18,6,12,14,A,2017
44,2,fr Paris S-G,6,3,3,0,13,7,6,12,A,2017
100,3,bg Ludogorets,6,0,3,3,6,15,-9,3,A,2017
65,4,ch Basel,6,0,2,4,3,12,-9,2,A,2017
87,1,it Napoli,6,3,2,1,11,8,3,11,B,2017
49,2,pt Benfica,6,2,2,2,10,10,0,8,B,2017
27,3,tr Beşiktaş,6,1,4,1,9,14,-5,7,B,2017
8,4,ua Dynamo Kyiv,6,1,2,3,8,6,2,5,B,2017
39,1,es Barcelona,6,5,0,1,20,4,16,15,C,2017
88,2,eng Manchester City,6,2,3,1,12,10,2,9,C,2017
104,3,de M'Gladbach,6,1,2,3,5,12,-7,5,C,2017
3,4,sct Celtic,6,0,3,3,5,16,-11,3,C,2017
66,1,es Atlético Madrid,6,5,0,1,7,2,5,15,D,2017
2,2,de Bayern Munich,6,4,0,2,14,6,8,12,D,2017
106,3,ru Rostov,6,1,2,3,6,12,-6,5,D,2017
11,4,nl PSV Eindhoven,6,0,2,4,4,11,-7,2,D,2017
9,1,fr Monaco,6,3,2,1,9,7,2,11,E,2017
34,2,de Leverkusen,6,2,4,0,8,4,4,10,E,2017
80,3,eng Tottenham,6,2,1,3,6,6,0,7,E,2017
43,4,ru CSKA Moscow,6,0,3,3,5,11,-6,3,E,2017
93,1,de Dortmund,6,4,2,0,21,9,12,14,F,2017
21,2,es Real Madrid,6,3,3,0,16,10,6,12,F,2017
107,3,pl Legia Warsaw,6,1,1,4,9,24,-15,4,F,2017
56,4,pt Sporting CP,6,1,0,5,5,8,-3,3,F,2017
108,1,eng Leicester City,6,4,1,1,7,6,1,13,G,2017
22,2,pt Porto,6,3,2,1,9,3,6,11,G,2017
59,3,dk FC Copenhagen,6,2,3,1,7,2,5,9,G,2017
31,4,be Club Brugge,6,0,0,6,2,14,-12,0,G,2017
13,1,it Juventus,6,4,2,0,11,2,9,14,H,2017
61,2,es Sevilla,6,3,2,1,7,3,4,11,H,2017
1,3,fr Lyon,6,2,2,2,5,3,2,8,H,2017
91,4,hr Dinamo Zagreb,6,0,0,6,0,15,-15,0,H,2017
