Team_ID,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Group,Year
21,1,es Real Madrid,6,5,1,0,19,3,16,16,A,2016
44,2,fr Paris S-G,6,4,1,1,12,1,11,13,A,2016
40,3,ua Shakhtar,6,1,0,5,7,14,-7,3,A,2016
99,4,se Malmö,6,1,0,5,1,21,-20,3,A,2016
72,1,de Wolfsburg,6,4,0,2,9,6,3,12,B,2016
11,2,nl PSV Eindhoven,6,3,1,2,8,7,1,10,B,2016
17,3,eng Manchester Utd,6,2,2,2,7,7,0,8,B,2016
43,4,ru CSKA Moscow,6,1,1,4,5,9,-4,4,B,2016
66,1,es Atlético Madrid,6,4,1,1,11,3,8,13,C,2016
49,2,pt Benfica,6,3,1,2,10,8,2,10,C,2016
15,3,tr Galatasaray,6,1,2,3,6,10,-4,5,C,2016
103,4,kz FC Astana,6,0,4,2,5,11,-6,4,C,2016
88,1,eng Manchester City,6,4,0,2,12,8,4,12,D,2016
13,2,it Juventus,6,3,2,1,6,3,3,11,D,2016
61,3,es Sevilla,6,2,0,4,8,11,-3,6,D,2016
104,4,de M'Gladbach,6,1,2,3,8,12,-4,5,D,2016
39,1,es Barcelona,6,4,2,0,15,4,11,14,E,2016
35,2,it Roma,6,1,3,2,11,16,-5,6,E,2016
34,3,de Leverkusen,6,1,3,2,13,12,1,6,E,2016
70,4,by BATE Borisov,6,1,2,3,5,12,-7,5,E,2016
2,1,de Bayern Munich,6,5,0,1,19,3,16,15,F,2016
5,2,eng Arsenal,6,3,0,3,12,10,2,9,F,2016
16,3,gr Olympiacos,6,3,0,3,6,13,-7,9,F,2016
91,4,hr Dinamo Zagreb,6,1,0,5,3,14,-11,3,F,2016
25,1,eng Chelsea,6,4,1,1,13,3,10,13,G,2016
8,2,ua Dynamo Kyiv,6,3,2,1,8,4,4,11,G,2016
22,3,pt Porto,6,3,1,2,9,8,1,10,G,2016
36,4,il Maccabi Tel Aviv,6,0,0,6,1,16,-15,0,G,2016
69,1,ru Zenit,6,5,0,1,13,6,7,15,H,2016
105,2,be Gent,6,3,1,2,8,7,1,10,H,2016
42,3,es Valencia,6,2,0,4,5,9,-4,6,H,2016
1,4,fr Lyon,6,1,1,4,5,9,-4,4,H,2016
