Team_ID,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Group,Year
17,1,eng Manchester Utd,6,4,2,0,12,3,9,14,A,2014
34,2,de Leverkusen,6,3,1,2,9,10,-1,10,A,2014
40,3,ua Shakhtar,6,2,2,2,7,6,1,8,A,2014
14,4,es Real Sociedad,6,0,1,5,1,10,-9,1,A,2014
21,1,es Real Madrid,6,5,1,0,20,5,15,16,B,2014
15,2,tr Galatasaray,6,2,1,3,8,14,-6,7,B,2014
13,3,it Juventus,6,1,3,2,9,9,0,6,B,2014
59,4,dk FC Copenhagen,6,1,1,4,4,13,-9,4,B,2014
44,1,fr Paris S-G,6,4,1,1,16,5,11,13,C,2014
16,2,gr Olympiacos,6,3,1,2,10,8,2,10,C,2014
49,3,pt Benfica,6,3,1,2,8,8,0,10,C,2014
4,4,be Anderlecht,6,0,1,5,4,17,-13,1,C,2014
2,1,de Bayern Munich,6,5,0,1,17,5,12,15,D,2014
88,2,eng Manchester City,6,5,0,1,18,10,8,15,D,2014
94,3,cz Viktoria Plzeň,6,1,0,5,6,17,-11,3,D,2014
43,4,ru CSKA Moscow,6,1,0,5,8,17,-9,3,D,2014
25,1,eng Chelsea,6,4,0,2,12,3,9,12,E,2014
51,2,de Schalke 04,6,3,1,2,6,6,0,10,E,2014
65,3,ch Basel,6,2,2,2,5,6,-1,8,E,2014
58,4,ro Steaua,6,0,3,3,2,10,-8,3,E,2014
93,1,de Dortmund,6,4,0,2,11,6,5,12,F,2014
5,2,eng Arsenal,6,4,0,2,8,5,3,12,F,2014
87,3,it Napoli,6,4,0,2,10,9,1,12,F,2014
23,4,fr Marseille,6,0,0,6,5,14,-9,0,F,2014
66,1,es Atlético Madrid,6,5,1,0,15,3,12,16,G,2014
69,2,ru Zenit,6,1,3,2,5,9,-4,6,G,2014
22,3,pt Porto,6,1,2,3,4,7,-3,5,G,2014
98,4,at Austria Wien,6,1,2,3,5,10,-5,5,G,2014
39,1,es Barcelona,6,4,1,1,16,5,11,13,H,2014
29,2,it Milan,6,2,3,1,8,5,3,9,H,2014
32,3,nl Ajax,6,2,2,2,5,8,-3,8,H,2014
3,4,sct Celtic,6,1,0,5,3,14,-11,3,H,2014
