Team_ID,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Group,Year
57,1,fr Bordeaux,6,5,1,0,9,2,7,16,A,2010
2,2,de Bayern Munich,6,3,1,2,9,5,4,10,A,2010
13,3,it Juventus,6,2,2,2,4,7,-3,8,A,2010
71,4,il Maccabi Haifa,6,0,0,6,0,8,-8,0,A,2010
17,1,eng Manchester Utd,6,4,1,1,10,6,4,13,B,2010
43,2,ru CSKA Moscow,6,3,1,2,10,10,0,10,B,2010
72,3,de Wolfsburg,6,2,1,3,9,8,1,7,B,2010
27,4,tr Beşiktaş,6,1,1,4,3,8,-5,4,B,2010
21,1,es Real Madrid,6,4,1,1,15,7,8,13,C,2010
29,2,it Milan,6,2,3,1,8,7,1,9,C,2010
23,3,fr Marseille,6,2,1,3,10,10,0,7,C,2010
73,4,ch Zürich,6,1,1,4,5,14,-9,4,C,2010
25,1,eng Chelsea,6,4,2,0,11,4,7,14,D,2010
22,2,pt Porto,6,4,0,2,8,3,5,12,D,2010
66,3,es Atlético Madrid,6,0,3,3,3,12,-9,3,D,2010
74,4,cy APOEL FC,6,0,3,3,4,7,-3,3,D,2010
68,1,it Fiorentina,6,5,0,1,14,7,7,15,E,2010
1,2,fr Lyon,6,4,1,1,12,3,9,13,E,2010
33,3,eng Liverpool,6,2,1,3,5,7,-2,7,E,2010
75,4,hu Debrecen,6,0,0,6,5,19,-14,0,E,2010
39,1,es Barcelona,6,3,2,1,7,3,4,11,F,2010
7,2,it Inter,6,2,3,1,7,6,1,9,F,2010
76,3,ru Rubin Kazan,6,1,3,2,4,7,-3,6,F,2010
8,4,ua Dynamo Kyiv,6,1,2,3,7,9,-2,5,F,2010
61,1,es Sevilla,6,4,1,1,11,4,7,13,G,2010
18,2,de Stuttgart,6,2,3,1,9,7,2,9,G,2010
77,3,ro Unirea Urziceni,6,2,2,2,8,8,0,8,G,2010
20,4,sct Rangers,6,0,2,4,4,13,-9,2,G,2010
5,1,eng Arsenal,6,4,1,1,12,5,7,13,H,2010
16,2,gr Olympiacos,6,3,1,2,4,5,-1,10,H,2010
78,3,be Standard Liège,6,1,2,3,7,9,-2,5,H,2010
79,4,nl AZ Alkmaar,6,0,4,2,4,8,-4,4,H,2010
