Team_ID,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Group,Year
13,1,it Juventus,6,5,0,1,12,5,7,15,A,2006
2,2,de Bayern Munich,6,4,1,1,10,4,6,13,A,2006
31,3,be Club Brugge,6,2,1,3,6,7,-1,7,A,2006
45,4,at Rapid Wien,6,0,0,6,3,15,-12,0,A,2006
5,1,eng Arsenal,6,5,1,0,10,2,8,16,B,2006
32,2,nl Ajax,6,3,2,1,10,6,4,11,B,2006
46,3,ch Thun,6,1,1,4,4,9,-5,4,B,2006
26,4,cz Sparta Prague,6,0,2,4,2,9,-7,2,B,2006
39,1,es Barcelona,6,5,1,0,16,2,14,16,C,2006
41,2,de Werder Bremen,6,2,1,3,12,12,0,7,C,2006
47,3,it Udinese,6,2,1,3,10,12,-2,7,C,2006
19,4,gr Panathinaikos,6,1,1,4,4,16,-12,4,C,2006
48,1,es Villarreal,6,2,4,0,3,1,2,10,D,2006
49,2,pt Benfica,6,2,2,2,5,5,0,8,D,2006
50,3,fr Lille,6,1,3,2,1,2,-1,6,D,2006
17,4,eng Manchester Utd,6,1,3,2,3,4,-1,6,D,2006
29,1,it Milan,6,3,2,1,12,6,6,11,E,2006
11,2,nl PSV Eindhoven,6,3,1,2,4,6,-2,10,E,2006
51,3,de Schalke 04,6,2,2,2,12,9,3,8,E,2006
37,4,tr Fenerbahçe,6,1,1,4,7,14,-7,4,E,2006
1,1,fr Lyon,6,5,1,0,13,4,9,16,F,2006
21,2,es Real Madrid,6,3,1,2,10,8,2,10,F,2006
38,3,no Rosenborg,6,1,1,4,6,11,-5,4,F,2006
16,4,gr Olympiacos,6,1,1,4,7,13,-6,4,F,2006
33,1,eng Liverpool,6,3,3,0,6,1,5,12,G,2006
25,2,eng Chelsea,6,3,2,1,7,1,6,11,G,2006
52,3,es Betis,6,2,1,3,3,7,-4,7,G,2006
4,4,be Anderlecht,6,1,0,5,1,8,-7,3,G,2006
7,1,it Inter,6,4,1,1,9,4,5,13,H,2006
20,2,sct Rangers,6,1,4,1,7,7,0,7,H,2006
53,3,sk Artmedia,6,1,3,2,5,9,-4,6,H,2006
22,4,pt Porto,6,1,2,3,8,9,-1,5,H,2006
