Team_ID,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Group,Year
80,1,eng Tottenham,6,3,2,1,18,11,7,11,A,2011
7,2,it Inter,6,3,1,2,12,11,1,10,A,2011
81,3,nl Twente,6,1,3,2,9,11,-2,6,A,2011
41,4,de Werder Bremen,6,1,2,3,6,12,-6,5,A,2011
51,1,de Schalke 04,6,4,1,1,10,3,7,13,B,2011
1,2,fr Lyon,6,3,1,2,11,10,1,10,B,2011
49,3,pt Benfica,6,2,0,4,7,12,-5,6,B,2011
82,4,il Hapoel Tel Aviv,6,1,2,3,7,10,-3,5,B,2011
17,1,eng Manchester Utd,6,4,2,0,7,1,6,14,C,2011
42,2,es Valencia,6,3,2,1,15,4,11,11,C,2011
20,3,sct Rangers,6,1,3,2,3,6,-3,6,C,2011
83,4,tr Bursaspor,6,0,1,5,2,16,-14,1,C,2011
39,1,es Barcelona,6,4,2,0,14,3,11,14,D,2011
59,2,dk FC Copenhagen,6,3,1,2,7,5,2,10,D,2011
76,3,ru Rubin Kazan,6,1,3,2,2,4,-2,6,D,2011
19,4,gr Panathinaikos,6,0,2,4,2,13,-11,2,D,2011
2,1,de Bayern Munich,6,5,0,1,16,6,10,15,E,2011
35,2,it Roma,6,3,1,2,10,11,-1,10,E,2011
65,3,ch Basel,6,2,0,4,8,11,-3,6,E,2011
63,4,ro CFR Cluj,6,1,1,4,6,12,-6,4,E,2011
25,1,eng Chelsea,6,5,0,1,14,4,10,15,F,2011
23,2,fr Marseille,6,4,0,2,12,3,9,12,F,2011
55,3,ru Spartak Moscow,6,3,0,3,7,10,-3,9,F,2011
84,4,sk MŠK Žilina,6,0,0,6,3,19,-16,0,F,2011
21,1,es Real Madrid,6,5,1,0,15,2,13,16,G,2011
29,2,it Milan,6,2,2,2,7,7,0,8,G,2011
32,3,nl Ajax,6,2,1,3,6,10,-4,7,G,2011
85,4,fr Auxerre,6,1,0,5,3,12,-9,3,G,2011
40,1,ua Shakhtar,6,5,0,1,12,6,6,15,H,2011
5,2,eng Arsenal,6,4,0,2,18,7,11,12,H,2011
86,3,pt Braga,6,3,0,3,5,11,-6,9,H,2011
24,4,rs Partizan,6,0,0,6,2,13,-11,0,H,2011
