Team_ID,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Group,Year
66,1,es Atlético Madrid,6,4,1,1,14,3,11,13,A,2015
13,2,it Juventus,6,3,1,2,7,4,3,10,A,2015
16,3,gr Olympiacos,6,3,0,3,10,13,-3,9,A,2015
99,4,se Malmö,6,1,0,5,4,15,-11,3,A,2015
21,1,es Real Madrid,6,6,0,0,16,2,14,18,B,2015
65,2,ch Basel,6,2,1,3,7,8,-1,7,B,2015
33,3,eng Liverpool,6,1,2,3,5,9,-4,5,B,2015
100,4,bg Ludogorets,6,1,1,4,5,14,-9,4,B,2015
9,1,fr Monaco,6,3,2,1,4,1,3,11,C,2015
34,2,de Leverkusen,6,3,1,2,7,4,3,10,C,2015
69,3,ru Zenit,6,2,1,3,4,6,-2,7,C,2015
49,4,pt Benfica,6,1,2,3,2,6,-4,5,C,2015
93,1,de Dortmund,6,4,1,1,14,4,10,13,D,2015
5,2,eng Arsenal,6,4,1,1,15,8,7,13,D,2015
4,3,be Anderlecht,6,1,3,2,8,10,-2,6,D,2015
15,4,tr Galatasaray,6,0,1,5,4,19,-15,1,D,2015
2,1,de Bayern Munich,6,5,0,1,16,4,12,15,E,2015
88,2,eng Manchester City,6,2,2,2,9,8,1,8,E,2015
35,3,it Roma,6,1,2,3,8,14,-6,5,E,2015
43,4,ru CSKA Moscow,6,1,2,3,6,13,-7,5,E,2015
39,1,es Barcelona,6,5,0,1,15,5,10,15,F,2015
44,2,fr Paris S-G,6,4,1,1,10,7,3,13,F,2015
32,3,nl Ajax,6,1,2,3,8,10,-2,5,F,2015
74,4,cy APOEL FC,6,0,1,5,1,12,-11,1,F,2015
25,1,eng Chelsea,6,4,2,0,17,3,14,14,G,2015
51,2,de Schalke 04,6,2,2,2,9,14,-5,8,G,2015
56,3,pt Sporting CP,6,2,1,3,12,12,0,7,G,2015
101,4,si NK Maribor,6,0,3,3,4,13,-9,3,G,2015
22,1,pt Porto,6,4,2,0,16,4,12,14,H,2015
40,2,ua Shakhtar,6,2,3,1,15,4,11,9,H,2015
102,3,es Athletic Club,6,2,1,3,5,6,-1,7,H,2015
70,4,by BATE Borisov,6,1,0,5,2,24,-22,3,H,2015
