Team_ID,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Group,Year
44,1,fr Paris S-G,6,5,1,0,17,2,15,16,A,2020
21,2,es Real Madrid,6,3,2,1,14,8,6,11,A,2020
31,3,be Club Brugge,6,0,3,3,4,12,-8,3,A,2020
15,4,tr Galatasaray,6,0,2,4,1,14,-13,2,A,2020
2,1,de Bayern Munich,6,6,0,0,24,5,19,18,B,2020
80,2,eng Tottenham,6,3,1,2,18,14,4,10,B,2020
16,3,gr Olympiacos,6,1,1,4,8,14,-6,4,B,2020
112,4,rs Red Star,6,1,0,5,3,20,-17,3,B,2020
88,1,eng Manchester City,6,4,2,0,16,4,12,14,C,2020
115,2,it Atalanta,6,2,1,3,8,12,-4,7,C,2020
40,3,ua Shakhtar,6,1,3,2,8,13,-5,6,C,2020
91,4,hr Dinamo Zagreb,6,1,2,3,10,13,-3,5,C,2020
13,1,it Juventus,6,5,1,0,12,4,8,16,D,2020
66,2,es Atlético Madrid,6,3,1,2,8,5,3,10,D,2020
34,3,de Leverkusen,6,2,0,4,5,9,-4,6,D,2020
6,4,ru Loko Moscow,6,1,0,5,4,11,-7,3,D,2020
33,1,eng Liverpool,6,4,1,1,13,8,5,13,E,2020
87,2,it Napoli,6,3,3,0,11,4,7,12,E,2020
116,3,at RB Salzburg,6,2,1,3,16,13,3,7,E,2020
92,4,be Genk,6,0,1,5,5,20,-15,1,E,2020
39,1,es Barcelona,6,4,2,0,9,4,5,14,F,2020
93,2,de Dortmund,6,3,1,2,8,8,0,10,F,2020
7,3,it Inter,6,2,1,3,10,9,1,7,F,2020
62,4,cz Slavia Prague,6,0,2,4,4,10,-6,2,F,2020
111,1,de RB Leipzig,6,3,2,1,10,8,2,11,G,2020
1,2,fr Lyon,6,2,2,2,9,8,1,8,G,2020
49,3,pt Benfica,6,2,1,3,10,11,-1,7,G,2020
69,4,ru Zenit,6,2,1,3,7,9,-2,7,G,2020
42,1,es Valencia,6,3,2,1,9,7,2,11,H,2020
25,2,eng Chelsea,6,3,2,1,11,9,2,11,H,2020
32,3,nl Ajax,6,3,1,2,12,6,6,10,H,2020
50,4,fr Lille,6,0,1,5,4,14,-10,1,H,2020
