Team_ID,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Group,Year
88,1,eng Manchester City,6,4,0,2,18,10,8,12,A,2022
44,2,fr Paris S-G,6,3,2,1,13,8,5,11,A,2022
111,3,de RB Leipzig,6,2,1,3,15,14,1,7,A,2022
31,4,be Club Brugge,6,1,1,4,6,20,-14,4,A,2022
33,1,eng Liverpool,6,6,0,0,17,6,11,18,B,2022
66,2,es Atlético Madrid,6,2,1,3,7,8,-1,7,B,2022
22,3,pt Porto,6,1,2,3,4,11,-7,5,B,2022
29,4,it Milan,6,1,1,4,6,9,-3,4,B,2022
32,1,nl Ajax,6,6,0,0,20,5,15,18,C,2022
56,2,pt Sporting CP,6,3,0,3,14,12,2,9,C,2022
93,3,de Dortmund,6,3,0,3,10,11,-1,9,C,2022
27,4,tr Beşiktaş,6,0,0,6,3,19,-16,0,C,2022
21,1,es Real Madrid,6,5,0,1,14,3,11,15,D,2022
7,2,it Inter,6,3,1,2,8,5,3,10,D,2022
122,3,md Sheriff Tiraspol,6,2,1,3,7,11,-4,7,D,2022
40,4,ua Shakhtar,6,0,2,4,2,12,-10,2,D,2022
2,1,de Bayern Munich,6,6,0,0,22,3,19,18,E,2022
49,2,pt Benfica,6,2,2,2,7,9,-2,8,E,2022
39,3,es Barcelona,6,2,1,3,2,9,-7,7,E,2022
8,4,ua Dynamo Kyiv,6,0,1,5,1,11,-10,1,E,2022
17,1,eng Manchester Utd,6,3,2,1,11,8,3,11,F,2022
48,2,es Villarreal,6,3,1,2,12,9,3,10,F,2022
115,3,it Atalanta,6,1,3,2,12,13,-1,6,F,2022
114,4,ch Young Boys,6,1,2,3,7,12,-5,5,F,2022
50,1,fr Lille,6,3,2,1,7,4,3,11,G,2022
116,2,at RB Salzburg,6,3,1,2,8,6,2,10,G,2022
61,3,es Sevilla,6,1,3,2,5,5,0,6,G,2022
72,4,de Wolfsburg,6,1,2,3,5,10,-5,5,G,2022
13,1,it Juventus,6,5,0,1,10,6,4,15,H,2022
25,2,eng Chelsea,6,4,1,1,13,4,9,13,H,2022
69,3,ru Zenit,6,1,2,3,10,10,0,5,H,2022
99,4,se Malmö,6,0,1,5,1,14,-13,1,H,2022
