Team_ID,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Group,Year
93,1,de Dortmund,6,4,1,1,10,2,8,13,A,2019
66,2,es Atlético Madrid,6,4,1,1,9,6,3,13,A,2019
31,3,be Club Brugge,6,1,3,2,6,5,1,6,A,2019
9,4,fr Monaco,6,0,1,5,2,14,-12,1,A,2019
39,1,es Barcelona,6,4,2,0,14,5,9,14,B,2019
80,2,eng Tottenham,6,2,2,2,9,10,-1,8,B,2019
7,3,it Inter,6,2,2,2,6,7,-1,8,B,2019
11,4,nl PSV Eindhoven,6,0,2,4,6,13,-7,2,B,2019
44,1,fr Paris S-G,6,3,2,1,17,9,8,11,C,2019
33,2,eng Liverpool,6,3,0,3,9,7,2,9,C,2019
87,3,it Napoli,6,2,3,1,7,5,2,9,C,2019
112,4,rs Red Star,6,1,1,4,5,17,-12,4,C,2019
22,1,pt Porto,6,5,1,0,15,6,9,16,D,2019
51,2,de Schalke 04,6,3,2,1,6,4,2,11,D,2019
15,3,tr Galatasaray,6,1,1,4,5,8,-3,4,D,2019
6,4,ru Loko Moscow,6,1,0,5,4,12,-8,3,D,2019
2,1,de Bayern Munich,6,4,2,0,15,5,10,14,E,2019
32,2,nl Ajax,6,3,3,0,11,5,6,12,E,2019
49,3,pt Benfica,6,2,1,3,6,11,-5,7,E,2019
12,4,gr AEK Athens,6,0,0,6,2,13,-11,0,E,2019
88,1,eng Manchester City,6,4,1,1,16,6,10,13,F,2019
1,2,fr Lyon,6,1,5,0,12,11,1,8,F,2019
40,3,ua Shakhtar,6,1,3,2,8,16,-8,6,F,2019
113,4,de Hoffenheim,6,0,3,3,11,14,-3,3,F,2019
21,1,es Real Madrid,6,4,0,2,12,5,7,12,G,2019
35,2,it Roma,6,3,0,3,11,8,3,9,G,2019
94,3,cz Viktoria Plzeň,6,2,1,3,7,16,-9,7,G,2019
43,4,ru CSKA Moscow,6,2,1,3,8,9,-1,7,G,2019
13,1,it Juventus,6,4,0,2,9,4,5,12,H,2019
17,2,eng Manchester Utd,6,3,1,2,7,4,3,10,H,2019
42,3,es Valencia,6,2,2,2,6,6,0,8,H,2019
114,4,ch Young Boys,6,1,1,4,4,12,-8,4,H,2019
