Team_ID,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Group,Year
17,1,eng Manchester Utd,6,5,0,1,12,3,9,15,A,2018
65,2,ch Basel,6,4,0,2,11,5,6,12,A,2018
43,3,ru CSKA Moscow,6,3,0,3,8,10,-2,9,A,2018
49,4,pt Benfica,6,0,0,6,1,14,-13,0,A,2018
44,1,fr Paris S-G,6,5,0,1,25,4,21,15,B,2018
2,2,de Bayern Munich,6,5,0,1,13,6,7,15,B,2018
3,3,sct Celtic,6,1,0,5,5,18,-13,3,B,2018
4,4,be Anderlecht,6,1,0,5,2,17,-15,3,B,2018
35,1,it Roma,6,3,2,1,9,6,3,11,C,2018
25,2,eng Chelsea,6,3,2,1,16,8,8,11,C,2018
66,3,es Atlético Madrid,6,1,4,1,5,4,1,7,C,2018
109,4,az Qarabağ FK,6,0,2,4,2,14,-12,2,C,2018
39,1,es Barcelona,6,4,2,0,9,1,8,14,D,2018
13,2,it Juventus,6,3,2,1,7,5,2,11,D,2018
56,3,pt Sporting CP,6,2,1,3,8,9,-1,7,D,2018
16,4,gr Olympiacos,6,0,1,5,4,13,-9,1,D,2018
33,1,eng Liverpool,6,3,3,0,23,6,17,12,E,2018
61,2,es Sevilla,6,2,3,1,12,12,0,9,E,2018
55,3,ru Spartak Moscow,6,1,3,2,9,13,-4,6,E,2018
101,4,si NK Maribor,6,0,3,3,3,16,-13,3,E,2018
88,1,eng Manchester City,6,5,0,1,14,5,9,15,F,2018
40,2,ua Shakhtar,6,4,0,2,9,9,0,12,F,2018
87,3,it Napoli,6,2,0,4,11,11,0,6,F,2018
110,4,nl Feyenoord,6,1,0,5,5,14,-9,3,F,2018
27,1,tr Beşiktaş,6,4,2,0,11,5,6,14,G,2018
22,2,pt Porto,6,3,1,2,15,10,5,10,G,2018
111,3,de RB Leipzig,6,2,1,3,10,11,-1,7,G,2018
9,4,fr Monaco,6,0,2,4,6,16,-10,2,G,2018
80,1,eng Tottenham,6,5,1,0,15,4,11,16,H,2018
21,2,es Real Madrid,6,4,1,1,17,7,10,13,H,2018
93,3,de Dortmund,6,0,2,4,7,13,-6,2,H,2018
74,4,cy APOEL FC,6,0,2,4,2,17,-15,2,H,2018
