Team_ID,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Group,Year
25,1,eng Chelsea,6,4,1,1,10,4,6,13,A,2007
39,2,es Barcelona,6,3,2,1,12,4,8,11,A,2007
41,3,de Werder Bremen,6,3,1,2,7,5,2,10,A,2007
54,4,bg Levski Sofia,6,0,0,6,1,17,-16,0,A,2007
2,1,de Bayern Munich,6,3,3,0,10,3,7,12,B,2007
7,2,it Inter,6,3,1,2,5,5,0,10,B,2007
55,3,ru Spartak Moscow,6,1,2,3,7,11,-4,5,B,2007
56,4,pt Sporting CP,6,1,2,3,3,6,-3,5,B,2007
33,1,eng Liverpool,6,4,1,1,11,5,6,13,C,2007
11,2,nl PSV Eindhoven,6,3,1,2,6,6,0,10,C,2007
57,3,fr Bordeaux,6,2,1,3,6,7,-1,7,C,2007
15,4,tr Galatasaray,6,1,1,4,7,12,-5,4,C,2007
42,1,es Valencia,6,4,1,1,12,6,6,13,D,2007
35,2,it Roma,6,3,1,2,8,4,4,10,D,2007
40,3,ua Shakhtar,6,1,3,2,6,11,-5,6,D,2007
16,4,gr Olympiacos,6,0,3,3,6,11,-5,3,D,2007
1,1,fr Lyon,6,4,2,0,12,3,9,14,E,2007
21,2,es Real Madrid,6,3,2,1,14,8,6,11,E,2007
58,3,ro Steaua,6,1,2,3,7,11,-4,5,E,2007
8,4,ua Dynamo Kyiv,6,0,2,4,5,16,-11,2,E,2007
17,1,eng Manchester Utd,6,4,0,2,10,5,5,12,F,2007
3,2,sct Celtic,6,3,0,3,8,9,-1,9,F,2007
49,3,pt Benfica,6,2,1,3,7,8,-1,7,F,2007
59,4,dk FC Copenhagen,6,2,1,3,5,8,-3,7,F,2007
5,1,eng Arsenal,6,3,2,1,7,3,4,11,G,2007
22,2,pt Porto,6,3,2,1,9,4,5,11,G,2007
43,3,ru CSKA Moscow,6,2,2,2,4,5,-1,8,G,2007
60,4,de Hamburger SV,6,1,0,5,7,15,-8,3,G,2007
29,1,it Milan,6,3,1,2,8,4,4,10,H,2007
50,2,fr Lille,6,2,3,1,8,5,3,9,H,2007
12,3,gr AEK Athens,6,2,2,2,6,9,-3,8,H,2007
4,4,be Anderlecht,6,0,4,2,7,11,-4,4,H,2007
