Team_ID,Squad_cf,Year,Rk_cf,MP,W,D,L,GF,GA,GD,Pts
17,eng Manchester Utd,2014,7,4.0,1.0,1.0,2.0,5.0,6.0,-1.0,4.0
34,de Leverkusen,2014,15,2.0,0.0,0.0,2.0,1.0,6.0,-5.0,0.0
40,ua Shakhtar,2014,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,es Real Sociedad,2014,28,2.0,1.0,1.0,0.0,4.0,0.0,4.0,4.0
21,es Real Madrid,2014,1,7.0,5.0,1.0,1.0,21.0,5.0,16.0,16.0
15,tr Galatasaray,2014,16,2.0,0.0,1.0,1.0,1.0,3.0,-2.0,1.0
13,it Juventus,2014,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,dk FC Copenhagen,2014,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,fr Paris S-G,2014,5,4.0,2.0,1.0,1.0,9.0,4.0,5.0,7.0
16,gr Olympiacos,2014,13,2.0,1.0,0.0,1.0,2.0,3.0,-1.0,3.0
49,pt Benfica,2014,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,be Anderlecht,2014,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,de Bayern Munich,2014,3,6.0,1.0,4.0,1.0,7.0,8.0,-1.0,7.0
88,eng Manchester City,2014,11,2.0,0.0,0.0,2.0,1.0,4.0,-3.0,0.0
94,cz Viktoria Plzeň,2014,17,6.0,5.0,1.0,0.0,20.0,7.0,13.0,16.0
43,ru CSKA Moscow,2014,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,eng Chelsea,2014,4,6.0,0.0,5.0,1.0,7.0,7.0,0.0,5.0
51,de Schalke 04,2014,12,4.0,1.0,1.0,2.0,6.0,12.0,-6.0,4.0
65,ch Basel,2014,18,4.0,2.0,2.0,0.0,10.0,5.0,5.0,8.0
58,ro Steaua,2014,19,6.0,3.0,3.0,0.0,11.0,5.0,6.0,12.0
93,de Dortmund,2014,8,4.0,1.0,2.0,1.0,7.0,7.0,0.0,5.0
5,eng Arsenal,2014,10,4.0,1.0,2.0,1.0,6.0,3.0,3.0,5.0
87,it Napoli,2014,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,fr Marseille,2014,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,es Atlético Madrid,2014,2,7.0,2.0,4.0,1.0,11.0,7.0,4.0,10.0
69,ru Zenit,2014,9,6.0,3.0,2.0,1.0,18.0,8.0,10.0,11.0
22,pt Porto,2014,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,at Austria Wien,2014,20,4.0,2.0,2.0,0.0,5.0,3.0,2.0,8.0
39,es Barcelona,2014,6,4.0,1.0,2.0,1.0,5.0,3.0,2.0,5.0
29,it Milan,2014,14,4.0,0.0,2.0,2.0,5.0,6.0,-1.0,2.0
32,nl Ajax,2014,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,sct Celtic,2014,22,6.0,2.0,3.0,1.0,9.0,2.0,7.0,9.0
