Team_ID,Squad_cf,Year,Rk_cf,MP,W,D,L,GF,GA,GD,Pts
35,it Roma,2009,12,2.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0
25,eng Chelsea,2009,4,6.0,2.0,4.0,0.0,11.0,8.0,3.0,10.0
57,fr Bordeaux,2009,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,ro CFR Cluj,2009,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,gr Panathinaikos,2009,9,6.0,3.0,2.0,1.0,8.0,4.0,4.0,11.0
7,it Inter,2009,16,2.0,0.0,1.0,1.0,0.0,2.0,-2.0,1.0
41,de Werder Bremen,2009,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,cy Anorthosis,2009,18,6.0,4.0,0.0,2.0,10.0,4.0,6.0,12.0
39,es Barcelona,2009,1,9.0,4.0,5.0,1.0,18.0,6.0,12.0,17.0
56,pt Sporting CP,2009,15,2.0,0.0,0.0,2.0,1.0,12.0,-11.0,0.0
40,ua Shakhtar,2009,21,2.0,2.0,0.0,0.0,5.0,1.0,4.0,6.0
65,ch Basel,2009,25,4.0,2.0,2.0,0.0,7.0,4.0,3.0,8.0
33,eng Liverpool,2009,5,6.0,3.0,2.0,1.0,11.0,7.0,4.0,11.0
66,es Atlético Madrid,2009,10,4.0,1.0,2.0,1.0,6.0,3.0,3.0,5.0
23,fr Marseille,2009,23,2.0,2.0,0.0,0.0,3.0,1.0,2.0,6.0
11,nl PSV Eindhoven,2009,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,eng Manchester Utd,2009,2,7.0,4.0,3.0,1.0,9.0,5.0,4.0,15.0
48,es Villarreal,2009,8,4.0,1.0,2.0,1.0,4.0,6.0,-2.0,5.0
67,dk Aalborg,2009,19,4.0,4.0,0.0,0.0,11.0,1.0,10.0,12.0
3,sct Celtic,2009,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,de Bayern Munich,2009,6,4.0,2.0,1.0,1.0,13.0,6.0,7.0,7.0
1,fr Lyon,2009,13,2.0,0.0,1.0,1.0,3.0,6.0,-3.0,1.0
68,it Fiorentina,2009,24,2.0,1.0,1.0,0.0,2.0,0.0,2.0,4.0
58,ro Steaua,2009,30,2.0,1.0,1.0,0.0,3.0,2.0,1.0,4.0
22,pt Porto,2009,7,4.0,0.0,3.0,1.0,4.0,5.0,-1.0,3.0
5,eng Arsenal,2009,3,8.0,4.0,1.0,3.0,12.0,6.0,6.0,13.0
8,ua Dynamo Kyiv,2009,17,4.0,3.0,1.0,0.0,12.0,5.0,7.0,10.0
37,tr Fenerbahçe,2009,22,4.0,3.0,1.0,0.0,11.0,3.0,8.0,10.0
13,it Juventus,2009,11,4.0,1.0,2.0,1.0,7.0,4.0,3.0,5.0
21,es Real Madrid,2009,14,2.0,0.0,0.0,2.0,0.0,5.0,-5.0,0.0
69,ru Zenit,2009,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,by BATE Borisov,2009,20,6.0,4.0,2.0,0.0,9.0,4.0,5.0,14.0
