Team_ID,Squad_cf,Year,Rk_cf,MP,W,D,L,GF,GA,GD,Pts
44,fr Paris S-G,2013,5,4.0,1.0,3.0,0.0,6.0,5.0,1.0,6.0
22,pt Porto,2013,10,2.0,1.0,0.0,1.0,1.0,2.0,-1.0,3.0
8,ua Dynamo Kyiv,2013,19,4.0,3.0,1.0,0.0,7.0,4.0,3.0,10.0
91,hr Dinamo Zagreb,2013,20,6.0,3.0,3.0,0.0,12.0,4.0,8.0,12.0
51,de Schalke 04,2013,12,2.0,0.0,2.0,0.0,3.0,4.0,-1.0,2.0
5,eng Arsenal,2013,14,2.0,1.0,0.0,1.0,3.0,3.0,0.0,3.0
16,gr Olympiacos,2013,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,fr Montpellier,2013,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,es Málaga,2013,6,6.0,1.0,3.0,2.0,6.0,4.0,2.0,6.0
29,it Milan,2013,16,2.0,1.0,0.0,1.0,2.0,4.0,-2.0,3.0
69,ru Zenit,2013,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,be Anderlecht,2013,21,4.0,2.0,1.0,1.0,14.0,2.0,12.0,7.0
93,de Dortmund,2013,2,7.0,1.0,4.0,2.0,13.0,9.0,4.0,7.0
21,es Real Madrid,2013,3,6.0,2.0,2.0,2.0,11.0,9.0,2.0,8.0
32,nl Ajax,2013,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,eng Manchester City,2013,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,it Juventus,2013,7,4.0,1.0,2.0,1.0,5.0,4.0,1.0,5.0
40,ua Shakhtar,2013,15,2.0,0.0,1.0,1.0,2.0,5.0,-3.0,1.0
25,eng Chelsea,2013,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,dk Nordsjælland,2013,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,de Bayern Munich,2013,1,7.0,6.0,1.0,0.0,16.0,4.0,12.0,19.0
42,es Valencia,2013,11,2.0,0.0,1.0,1.0,2.0,3.0,-1.0,1.0
70,by BATE Borisov,2013,18,6.0,3.0,3.0,0.0,9.0,4.0,5.0,12.0
50,fr Lille,2013,29,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0
39,es Barcelona,2013,4,6.0,0.0,4.0,2.0,7.0,12.0,-5.0,4.0
3,sct Celtic,2013,9,6.0,3.0,1.0,2.0,8.0,6.0,2.0,10.0
49,pt Benfica,2013,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,ru Spartak Moscow,2013,26,2.0,1.0,1.0,0.0,3.0,2.0,1.0,4.0
17,eng Manchester Utd,2013,13,2.0,0.0,2.0,0.0,2.0,3.0,-1.0,2.0
15,tr Galatasaray,2013,8,4.0,1.0,2.0,1.0,7.0,8.0,-1.0,5.0
63,ro CFR Cluj,2013,17,4.0,3.0,1.0,0.0,6.0,2.0,4.0,10.0
86,pt Braga,2013,27,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0
