Team_ID,Squad_cf,Year,Rk_cf,MP,W,D,L,GF,GA,GD,Pts
1,fr Lyon,2004,8,4.0,2.0,1.0,1.0,4.0,4.0,0.0,7.0
2,de Bayern Munich,2004,15,2.0,0.0,1.0,1.0,1.0,2.0,-1.0,1.0
3,sct Celtic,2004,17,4.0,4.0,0.0,0.0,10.0,0.0,10.0,12.0
4,be Anderlecht,2004,18,4.0,3.0,1.0,0.0,7.0,3.0,4.0,10.0
5,eng Arsenal,2004,6,4.0,2.0,1.0,1.0,7.0,5.0,2.0,7.0
6,ru Loko Moscow,2004,10,4.0,2.0,0.0,2.0,5.0,4.0,1.0,6.0
7,it Inter,2004,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ua Dynamo Kyiv,2004,19,2.0,2.0,0.0,0.0,5.0,1.0,4.0,6.0
9,fr Monaco,2004,2,7.0,3.0,2.0,3.0,12.0,13.0,-1.0,11.0
10,es La Coruña,2004,4,8.0,4.0,2.0,2.0,8.0,5.0,3.0,14.0
11,nl PSV Eindhoven,2004,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,gr AEK Athens,2004,30,2.0,1.0,0.0,1.0,3.0,2.0,1.0,3.0
13,it Juventus,2004,11,2.0,0.0,0.0,2.0,0.0,2.0,-2.0,0.0
14,es Real Sociedad,2004,16,2.0,0.0,0.0,2.0,0.0,2.0,-2.0,0.0
15,tr Galatasaray,2004,20,2.0,2.0,0.0,0.0,6.0,0.0,6.0,6.0
16,gr Olympiacos,2004,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,eng Manchester Utd,2004,9,2.0,0.0,1.0,1.0,2.0,3.0,-1.0,1.0
18,de Stuttgart,2004,12,2.0,0.0,1.0,1.0,0.0,1.0,-1.0,1.0
19,gr Panathinaikos,2004,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,sct Rangers,2004,28,2.0,1.0,1.0,0.0,3.0,2.0,1.0,4.0
21,es Real Madrid,2004,5,4.0,2.0,1.0,1.0,7.0,6.0,1.0,7.0
22,pt Porto,2004,1,7.0,4.0,4.0,0.0,11.0,4.0,7.0,16.0
23,fr Marseille,2004,25,2.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0
24,rs Partizan,2004,27,4.0,1.0,2.0,1.0,4.0,4.0,0.0,5.0
25,eng Chelsea,2004,3,8.0,4.0,3.0,1.0,12.0,7.0,5.0,15.0
26,cz Sparta Prague,2004,13,4.0,1.0,2.0,1.0,6.0,8.0,-2.0,5.0
27,tr Beşiktaş,2004,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,it Lazio,2004,21,2.0,2.0,0.0,0.0,4.0,1.0,3.0,6.0
29,it Milan,2004,7,4.0,2.0,1.0,1.0,8.0,6.0,2.0,7.0
30,es Celta Vigo,2004,14,4.0,1.0,0.0,3.0,5.0,7.0,-2.0,3.0
31,be Club Brugge,2004,22,2.0,1.0,0.0,1.0,3.0,3.0,0.0,3.0
32,nl Ajax,2004,24,2.0,1.0,1.0,0.0,3.0,2.0,1.0,4.0
