Team_ID,Squad_cf,Year,Rk_cf,MP,W,D,L,GF,GA,GD,Pts
93,de Dortmund,2019,13,2.0,0.0,0.0,2.0,0.0,4.0,-4.0,0.0
66,es Atlético Madrid,2019,9,2.0,1.0,0.0,1.0,2.0,3.0,-1.0,3.0
31,be Club Brugge,2019,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,fr Monaco,2019,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,es Barcelona,2019,3,6.0,4.0,1.0,1.0,12.0,5.0,7.0,13.0
80,eng Tottenham,2019,2,7.0,4.0,0.0,3.0,11.0,9.0,2.0,12.0
7,it Inter,2019,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,nl PSV Eindhoven,2019,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,fr Paris S-G,2019,12,2.0,1.0,0.0,1.0,3.0,3.0,0.0,3.0
33,eng Liverpool,2019,1,7.0,5.0,1.0,1.0,15.0,5.0,10.0,16.0
87,it Napoli,2019,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,rs Red Star,2019,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,pt Porto,2019,6,4.0,1.0,0.0,3.0,5.0,9.0,-4.0,3.0
51,de Schalke 04,2019,15,2.0,0.0,0.0,2.0,2.0,10.0,-8.0,0.0
15,tr Galatasaray,2019,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ru Loko Moscow,2019,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,de Bayern Munich,2019,10,2.0,0.0,1.0,1.0,1.0,3.0,-2.0,1.0
32,nl Ajax,2019,4,6.0,3.0,1.0,2.0,11.0,8.0,3.0,10.0
49,pt Benfica,2019,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,gr AEK Athens,2019,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,eng Manchester City,2019,5,4.0,3.0,0.0,1.0,14.0,6.0,8.0,9.0
1,fr Lyon,2019,16,2.0,0.0,1.0,1.0,1.0,5.0,-4.0,1.0
40,ua Shakhtar,2019,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,de Hoffenheim,2019,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,es Real Madrid,2019,11,2.0,1.0,0.0,1.0,3.0,5.0,-2.0,3.0
35,it Roma,2019,14,2.0,1.0,0.0,1.0,3.0,4.0,-1.0,3.0
94,cz Viktoria Plzeň,2019,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,ru CSKA Moscow,2019,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,it Juventus,2019,7,4.0,1.0,1.0,2.0,5.0,5.0,0.0,4.0
17,eng Manchester Utd,2019,8,4.0,1.0,0.0,3.0,3.0,7.0,-4.0,3.0
42,es Valencia,2019,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,ch Young Boys,2019,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
