Team_ID,Squad_cf,Year,Rk_cf,MP,W,D,L,GF,GA,GD,Pts
25,eng Chelsea,2007,4,6.0,3.0,2.0,1.0,7.0,5.0,2.0,11.0
39,es Barcelona,2007,12,2.0,1.0,0.0,1.0,2.0,2.0,0.0,3.0
41,de Werder Bremen,2007,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,bg Levski Sofia,2007,26,4.0,3.0,1.0,0.0,8.0,2.0,6.0,10.0
2,de Bayern Munich,2007,7,4.0,1.0,1.0,2.0,6.0,8.0,-2.0,4.0
7,it Inter,2007,15,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0
55,ru Spartak Moscow,2007,24,4.0,1.0,3.0,0.0,3.0,2.0,1.0,6.0
56,pt Sporting CP,2007,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,eng Liverpool,2007,2,9.0,5.0,2.0,3.0,11.0,7.0,4.0,17.0
11,nl PSV Eindhoven,2007,8,4.0,1.0,1.0,2.0,2.0,5.0,-3.0,4.0
57,fr Bordeaux,2007,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,tr Galatasaray,2007,27,2.0,1.0,1.0,0.0,6.0,3.0,3.0,4.0
42,es Valencia,2007,5,6.0,1.0,3.0,2.0,7.0,6.0,1.0,6.0
35,it Roma,2007,6,4.0,2.0,1.0,1.0,5.0,8.0,-3.0,7.0
40,ua Shakhtar,2007,22,2.0,2.0,0.0,0.0,4.0,2.0,2.0,6.0
16,gr Olympiacos,2007,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,fr Lyon,2007,10,2.0,0.0,1.0,1.0,0.0,2.0,-2.0,1.0
21,es Real Madrid,2007,13,2.0,1.0,0.0,1.0,4.0,4.0,0.0,3.0
58,ro Steaua,2007,17,4.0,3.0,1.0,0.0,9.0,3.0,6.0,10.0
8,ua Dynamo Kyiv,2007,21,4.0,3.0,1.0,0.0,13.0,4.0,9.0,10.0
17,eng Manchester Utd,2007,3,6.0,4.0,0.0,2.0,13.0,8.0,5.0,12.0
3,sct Celtic,2007,16,2.0,0.0,1.0,1.0,0.0,1.0,-1.0,1.0
49,pt Benfica,2007,23,2.0,1.0,1.0,0.0,4.0,1.0,3.0,4.0
59,dk FC Copenhagen,2007,20,4.0,2.0,1.0,1.0,7.0,4.0,3.0,7.0
5,eng Arsenal,2007,9,4.0,2.0,1.0,1.0,6.0,3.0,3.0,7.0
22,pt Porto,2007,14,2.0,0.0,1.0,1.0,2.0,3.0,-1.0,1.0
43,ru CSKA Moscow,2007,18,2.0,2.0,0.0,0.0,5.0,0.0,5.0,6.0
60,de Hamburger SV,2007,30,2.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0
29,it Milan,2007,1,9.0,6.0,3.0,1.0,15.0,7.0,8.0,21.0
50,fr Lille,2007,11,4.0,2.0,0.0,2.0,4.0,2.0,2.0,6.0
12,gr AEK Athens,2007,19,2.0,2.0,0.0,0.0,5.0,1.0,4.0,6.0
4,be Anderlecht,2007,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
