Team_ID,Squad_cf,Year,Rk_cf,MP,W,D,L,GF,GA,GD,Pts
2,de Bayern Munich,2012,2,9.0,4.0,3.0,2.0,18.0,5.0,13.0,15.0
87,it Napoli,2012,11,2.0,1.0,0.0,1.0,4.0,5.0,-1.0,3.0
88,eng Manchester City,2012,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,es Villarreal,2012,31,2.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0
7,it Inter,2012,14,2.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0
43,ru CSKA Moscow,2012,16,2.0,0.0,1.0,1.0,2.0,5.0,-3.0,1.0
89,tr Trabzonspor,2012,26,2.0,0.0,1.0,1.0,1.0,3.0,-2.0,1.0
50,fr Lille,2012,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,pt Benfica,2012,5,8.0,1.0,4.0,3.0,13.0,10.0,3.0,7.0
65,ch Basel,2012,12,2.0,1.0,0.0,1.0,1.0,7.0,-6.0,3.0
17,eng Manchester Utd,2012,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,ro Oțelul Galați,2012,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,es Real Madrid,2012,3,6.0,1.0,4.0,1.0,16.0,7.0,9.0,7.0
1,fr Lyon,2012,10,4.0,2.0,1.0,1.0,5.0,3.0,2.0,7.0
32,nl Ajax,2012,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,hr Dinamo Zagreb,2012,18,6.0,3.0,2.0,1.0,10.0,4.0,6.0,11.0
25,eng Chelsea,2012,1,7.0,2.0,4.0,1.0,12.0,8.0,4.0,10.0
34,de Leverkusen,2012,15,2.0,0.0,0.0,2.0,2.0,10.0,-8.0,0.0
42,es Valencia,2012,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,be Genk,2012,27,4.0,1.0,2.0,1.0,6.0,5.0,1.0,5.0
5,eng Arsenal,2012,9,4.0,2.0,1.0,1.0,6.0,5.0,1.0,7.0
23,fr Marseille,2012,8,4.0,1.0,0.0,3.0,2.0,6.0,-4.0,3.0
16,gr Olympiacos,2012,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,de Dortmund,2012,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,cy APOEL FC,2012,6,10.0,2.0,4.0,4.0,14.0,11.0,3.0,10.0
69,ru Zenit,2012,13,2.0,1.0,0.0,1.0,3.0,4.0,-1.0,3.0
22,pt Porto,2012,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,ua Shakhtar,2012,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,es Barcelona,2012,4,6.0,1.0,4.0,1.0,15.0,6.0,9.0,7.0
29,it Milan,2012,7,4.0,1.0,1.0,2.0,5.0,6.0,-1.0,4.0
94,cz Viktoria Plzeň,2012,17,6.0,3.0,3.0,0.0,18.0,5.0,13.0,12.0
70,by BATE Borisov,2012,20,6.0,1.0,5.0,0.0,9.0,3.0,6.0,8.0
