Team_ID,Squad_cf,Year,Rk_cf,MP,W,D,L,GF,GA,GD,Pts
17,eng Manchester Utd,2018,10,2.0,0.0,1.0,1.0,1.0,2.0,-1.0,1.0
65,ch Basel,2018,12,2.0,1.0,0.0,1.0,2.0,5.0,-3.0,3.0
43,ru CSKA Moscow,2018,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,pt Benfica,2018,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,fr Paris S-G,2018,11,2.0,0.0,0.0,2.0,2.0,5.0,-3.0,0.0
2,de Bayern Munich,2018,3,6.0,3.0,2.0,1.0,13.0,6.0,7.0,11.0
3,sct Celtic,2018,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,be Anderlecht,2018,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,it Roma,2018,4,6.0,3.0,0.0,3.0,12.0,13.0,-1.0,9.0
25,eng Chelsea,2018,15,2.0,0.0,1.0,1.0,1.0,4.0,-3.0,1.0
66,es Atlético Madrid,2018,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,az Qarabağ FK,2018,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,es Barcelona,2018,5,4.0,2.0,1.0,1.0,8.0,5.0,3.0,7.0
13,it Juventus,2018,7,4.0,2.0,1.0,1.0,7.0,7.0,0.0,7.0
56,pt Sporting CP,2018,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,gr Olympiacos,2018,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,eng Liverpool,2018,2,7.0,4.0,1.0,2.0,18.0,10.0,8.0,13.0
61,es Sevilla,2018,8,4.0,1.0,2.0,1.0,3.0,3.0,0.0,5.0
55,ru Spartak Moscow,2018,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,si NK Maribor,2018,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,eng Manchester City,2018,6,4.0,1.0,0.0,3.0,6.0,7.0,-1.0,3.0
40,ua Shakhtar,2018,13,2.0,1.0,0.0,1.0,2.0,2.0,0.0,3.0
87,it Napoli,2018,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,nl Feyenoord,2018,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,tr Beşiktaş,2018,14,2.0,0.0,0.0,2.0,1.0,8.0,-7.0,0.0
22,pt Porto,2018,16,2.0,0.0,1.0,1.0,0.0,5.0,-5.0,1.0
111,de RB Leipzig,2018,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,fr Monaco,2018,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,eng Tottenham,2018,9,2.0,0.0,1.0,1.0,3.0,4.0,-1.0,1.0
21,es Real Madrid,2018,1,7.0,5.0,1.0,1.0,16.0,9.0,7.0,16.0
93,de Dortmund,2018,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,cy APOEL FC,2018,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
